response_id,timepoint,sad,pos,rum,condition
R_sHWJ2nwWjtaeYJH,baseline,9,6,2.6666666666666665,sad
R_sHWJ2nwWjtaeYJH,postinduction,12,6,2.6666666666666665,sad
R_sHWJ2nwWjtaeYJH,postlistening,14,10,2.6666666666666665,sad
R_3KW3KZnv5O7rmXC,baseline,15,10,3.9166666666666665,control
R_3KW3KZnv5O7rmXC,postinduction,16,6,3.9166666666666665,control
R_3KW3KZnv5O7rmXC,postlistening,12,6,3.9166666666666665,control
R_ve3YmKrlqxLkS1b,baseline,15,6,4.916666666666667,self
R_ve3YmKrlqxLkS1b,postinduction,17,5,4.916666666666667,self
R_ve3YmKrlqxLkS1b,postlistening,10,6,4.916666666666667,self
R_1hW6uGGYPnpxYS0,baseline,8,10,3.25,self
R_1hW6uGGYPnpxYS0,postinduction,8,5,3.25,self
R_1hW6uGGYPnpxYS0,postlistening,8,14,3.25,self
R_1jBrphojF0R5seZ,baseline,16,9,3.25,control
R_1jBrphojF0R5seZ,postinduction,13,7,3.25,control
R_1jBrphojF0R5seZ,postlistening,17,7,3.25,control
R_DMLw248KqUrpvXz,baseline,12,7,2.9166666666666665,sad
R_DMLw248KqUrpvXz,postinduction,12,5,2.9166666666666665,sad
R_DMLw248KqUrpvXz,postlistening,11,5,2.9166666666666665,sad
R_2TEFCFI3TmEFTih,baseline,21,10,4.25,self
R_2TEFCFI3TmEFTih,postinduction,31,5,4.25,self
R_2TEFCFI3TmEFTih,postlistening,21,8,4.25,self
R_2uO1vLDyXrlmTFm,baseline,8,13,3.5454545454545454,sad
R_2uO1vLDyXrlmTFm,postinduction,22,5,3.5454545454545454,sad
R_2uO1vLDyXrlmTFm,postlistening,12,6,3.5454545454545454,sad
R_1rplJpkoEbezNTU,baseline,26,6,4.583333333333333,self
R_1rplJpkoEbezNTU,postinduction,22,5,4.583333333333333,self
R_1rplJpkoEbezNTU,postlistening,23,6,4.583333333333333,self
R_21gFf8ECwHPi8yY,baseline,8,14,4.583333333333333,sad
R_21gFf8ECwHPi8yY,postinduction,8,10,4.583333333333333,sad
R_21gFf8ECwHPi8yY,postlistening,9,5,4.583333333333333,sad
R_30uxgtAJtxaaaeG,baseline,12,15,3.4166666666666665,control
