response_id,condition,age,gender,ethnicity,nationality,sample,pomsdsf1_1,pomsdsf2_1,pomsdsf3_1,pomsdsf4_1,pomsdsf5_1,pomsdsf6_1,pomsdsf7_1,pomsdsf8_1,pomsvsf1_1,pomsvsf2_1,pomsvsf3_1,pomsvsf4_1,pomsvsf5_1,pomsdsf1_2,pomsdsf2_2,pomsdsf3_2,pomsdsf4_2,pomsdsf5_2,pomsdsf6_2,pomsdsf7_2,pomsdsf8_2,pomsvsf1_2,pomsvsf2_2,pomsvsf3_2,pomsvsf4_2,pomsvsf5_2,pomsdsf1_3,pomsdsf2_3,pomsdsf3_3,pomsdsf4_3,pomsdsf5_3,pomsdsf6_3,pomsdsf7_3,pomsdsf8_3,pomsvsf1_3,pomsvsf2_3,pomsvsf3_3,pomsvsf4_3,pomsvsf5_3,muisc_info4_1,lpq1_1,lpq2_1,lpq3_1,rrq1_1,rrq2_1,rrq3_1,rrq4_1,rrq5_1,rrq6_1,rrq7_1,rrq8_1,rrq9_1,rrq10_1,rrq11_1,rrq12_1,mars1_1,mars2_1,mars3_1,mars4_1,mars5_1,mars6_1,mars7_1,mars8_1,mars9_1,mars10_1,mars11_1,mars12_1,mars13_1,mars14_1,mars15_1,self_selected_song1,rrq6_orig,rrq9_orig,rrq10_orig,sad_baseline,sad_postinduction,sad_postlistening,pos_baseline,pos_postinduction,pos_postlistening,rum
R_sHWJ2nwWjtaeYJH,sad,21,1,1,Australian,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,3,2,2,2,2,1,2,3,2,1,2,NA,NA,NA,NA,3,2,2,2,3,3,2,4,4,2,3,2,4,5,3,2,2,4,5,2,1,2,2,3,2,1,4,NA,3,2,4,9,12,14,6,6,10,2.6666666666666665
R_3KW3KZnv5O7rmXC,control,22,2,1,Greek/Australian,2,2,2,2,2,3,1,2,1,3,1,3,1,2,4,4,3,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,NA,NA,NA,NA,4,4,3,4,4,4,4,4,4,4,4,4,6,6,2,2,2,6,6,5,4,1,5,6,2,4,6,NA,2,2,2,15,16,12,10,6,6,3.9166666666666665
R_ve3YmKrlqxLkS1b,self,21,2,1,Australian,2,2,2,2,2,3,1,1,2,2,1,1,1,1,2,3,2,2,2,3,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,3,4,2,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,2,1,4,6,4,5,4,2,4,4,1,4,5,Never stop - safety suit,1,1,2,15,17,10,6,5,6,4.916666666666667
R_1hW6uGGYPnpxYS0,self,21,1,1,Australian,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,3,1,3,1,2,3,3,3,4,4,4,4,4,3,2,3,2,NA,5,3,2,4,6,4,4,6,2,2,3,2,1,4,Rebirth - Atlanta Awaits,2,3,4,8,8,8,10,5,14,3.25
R_1jBrphojF0R5seZ,control,22,2,5,Australian,2,2,1,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,1,1,1,1,2,2,1,1,1,3,2,2,2,2,2,2,2,2,2,1,1,1,NA,NA,NA,NA,4,3,3,3,3,3,4,4,3,3,3,3,5,6,2,1,4,5,6,5,1,2,5,5,4,3,4,NA,3,3,3,16,13,17,9,7,7,3.25
R_DMLw248KqUrpvXz,sad,23,1,1,Australian,2,2,1,1,2,2,1,1,2,2,1,1,2,1,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,NA,NA,NA,NA,2,4,3,2,2,3,3,3,3,3,4,3,4,5,6,1,4,4,5,4,5,1,2,5,2,2,5,NA,3,3,3,12,12,11,7,5,5,2.9166666666666665
R_2TEFCFI3TmEFTih,self,22,2,1,Australian,2,3,3,3,2,3,2,2,3,2,2,3,2,1,4,5,4,4,3,5,3,3,1,1,1,1,1,3,4,4,2,2,2,2,2,2,2,2,1,1,4,3,2,2,5,4,5,5,4,4,4,4,4,4,4,4,6,6,4,2,2,5,6,5,5,1,4,6,2,3,4,"Me at the Museum, and You in the Wintergarden - Tiny Ruins",2,2,2,21,31,21,10,5,8,4.25
R_2uO1vLDyXrlmTFm,sad,23,1,1,Australian,2,1,1,1,1,1,1,1,1,2,2,3,3,3,4,4,4,2,3,2,2,1,1,1,1,1,1,1,3,3,1,1,1,1,1,2,1,1,1,1,NA,NA,NA,NA,2,3,5,4,NA,3,4,4,3,4,3,4,4,4,3,4,2,4,4,4,4,1,4,4,3,2,4,NA,3,3,2,8,22,12,13,5,6,3.5454545454545454
R_1rplJpkoEbezNTU,self,20,1,1,Australian,2,3,3,3,4,4,2,3,4,1,1,1,2,1,3,4,3,3,3,2,2,2,1,1,1,1,1,3,3,2,2,4,3,3,3,1,1,2,1,1,3,5,3,4,4,4,5,5,5,5,4,4,5,5,4,5,5,4,2,4,4,5,6,3,7,1,2,5,2,4,5,Breathing in Stereo - Modern Baseball,1,1,1,26,22,23,6,5,6,4.583333333333333
R_21gFf8ECwHPi8yY,sad,21,2,1,Australian,2,1,1,1,1,1,1,1,1,3,3,3,2,3,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,4,5,5,5,5,5,5,5,1,5,5,5,7,5,1,1,4,7,6,6,7,2,7,5,2,2,5,NA,1,5,1,8,8,9,14,10,5,4.583333333333333
