StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,musicaccess,sad.song,sad.song.artist,ProlificID,deq_1_1,deq_1_2,deq_1_3,deq_1_4,mip.timinmg_First Click,mip.timinmg_Last Click,mip.timinmg_Page Submit,mip.timinmg_Click Count,deq_2_1,deq_2_2,deq_2_3,deq_2_4,song.timing_First Click,song.timing_Last Click,song.timing_Page Submit,song.timing_Click Count,deq_3_1,deq_3_2,deq_3_3,deq_3_4,reg.use_1,mecscale_1,mecscale_2,mecscale_3,mecscale_4,mecscale_5,mecscale_6,mecscale_7,mecscale_8,rrq_1,rrq_2,rrq_3,rrq_4,rrq_5,rrq_6,rrq_7,rrq_8,rrq_9,rrq_10,rrq_11,rrq_12,musebaq_1,musebaq_2,musebaq_3,musebaq_4,musebaq_5,musebaq_6,musebaq_7,musebaq_8,musebaq_9,age,gender,hours.listen,Q77
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Are you able to listen to your own music at the moment?,"In the box below, please write the name of a song that makes you feel sad (or is likely to make you sad)",What artist is this song by?,Please enter your prolific ID,At this moment to what extent are you experiencing these emotions - Lonely,At this moment to what extent are you experiencing these emotions - Grief,At this moment to what extent are you experiencing these emotions - Sad,At this moment to what extent are you experiencing these emotions - Empty,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,At this moment to what extent are you experiencing these emotions - Lonely,At this moment to what extent are you experiencing these emotions - Grief,At this moment to what extent are you experiencing these emotions - Sad,At this moment to what extent are you experiencing these emotions - Empty,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,At this moment to what extent are you experiencing these emotions - Lonely,At this moment to what extent are you experiencing these emotions - Grief,At this moment to what extent are you experiencing these emotions - Sad,At this moment to what extent are you experiencing these emotions - Empty,How likely are you to listen to  [QID2-ChoiceTextEntryValue]  by [QID95-ChoiceTextEntryValue] when you are feeling sad? - How likely are you to listen to  ${q://QID2/ChoiceTextEntryValue}  by ${q://QID95/ChoiceTextEntryValue} when you are feeling sad?,Please answer the following questions about [QID2-ChoiceTextEntryValue] by [QID95-ChoiceTextEntryValue] - Did the music feature an event that startled you?,Please answer the following questions about [QID2-ChoiceTextEntryValue] by [QID95-ChoiceTextEntryValue] - Did the music have a strong and captivating pulse/rhythm?,Please answer the following questions about [QID2-ChoiceTextEntryValue] by [QID95-ChoiceTextEntryValue] - Did the music evoke a memory of an event from your life?,Please answer the following questions about [QID2-ChoiceTextEntryValue] by [QID95-ChoiceTextEntryValue] - Did the music evoke more general associations?,Please answer the following questions about [QID2-ChoiceTextEntryValue] by [QID95-ChoiceTextEntryValue] - Did the music evoke images while you were listening?,Please answer the following questions about [QID2-ChoiceTextEntryValue] by [QID95-ChoiceTextEntryValue] - Were you touched by the emotional expression of the music?,"Please answer the following questions about [QID2-ChoiceTextEntryValue] by [QID95-ChoiceTextEntryValue] - Was it difficult to guess how the music (e.g., melody) would continue over time?",Please answer the following questions about [QID2-ChoiceTextEntryValue] by [QID95-ChoiceTextEntryValue] - Did the music have any practical consequences for your goals or plans in life?,"For each of the following statements, rate you level of agreement - My attention is often focused on aspects of myself I wish I’d stop thinking about.","For each of the following statements, rate you level of agreement - I always seem to be rehashing in my mind recent things I’ve said or done.","For each of the following statements, rate you level of agreement - Sometimes it is hard for me to shut off thoughts about myself.","For each of the following statements, rate you level of agreement - Long after an argument or disagreement is over with, my thoughts keep going back to what happened.","For each of the following statements, rate you level of agreement - I tend to “ruminate” or dwell over things that happen to me for a really long time afterward.","For each of the following statements, rate you level of agreement - I don’t waste time rethinking things that are over and done with.","For each of the following statements, rate you level of agreement - Often I’m playing back over in my mind how I acted in a past situation.","For each of the following statements, rate you level of agreement - I often find myself reevaluating something I’ve done.","For each of the following statements, rate you level of agreement - I never ruminate or dwell on myself for very long.","For each of the following statements, rate you level of agreement - It is easy for me to put unwanted thoughts out of my mind.","For each of the following statements, rate you level of agreement - I often reflect on episodes in my life that I should no longer concern myself with.","For each of the following statements, rate you level of agreement - I spend a great deal of time thinking back over my embarrassing or disappointing moments.",To what extent do you agree with the following statements - I use music to distract me from emotional pain,To what extent do you agree with the following statements - I use music to help me work through my emotional problems,To what extent do you agree with the following statements - I use music to get through difficult times,To what extent do you agree with the following statements - I use music to explore and understand my own feelings,To what extent do you agree with the following statements - I listen or play music when I’m upset or feeling down,To what extent do you agree with the following statements - I like to use music to distract me from my worries,To what extent do you agree with the following statements - Playing music is an outlet for my anger or frustrations,To what extent do you agree with the following statements - I use music to calm myself when I’m stressed or feeling anxious,To what extent do you agree with the following statements - I use music to distract me from physical aches,What is your age in years?,What gender do you identify as?,"On average, how many hours a day do you deliberately listen to music to?",How many years have(or did) you play or sing?  If you have never played an instrument or sung please select 0
"{""ImportId"":""startDate"",""timeZone"":""Australia/Brisbane""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Brisbane""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Brisbane""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID110""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""QID113_TEXT""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID87_2""}","{""ImportId"":""QID87_3""}","{""ImportId"":""QID87_4""}","{""ImportId"":""QID96_FIRST_CLICK""}","{""ImportId"":""QID96_LAST_CLICK""}","{""ImportId"":""QID96_PAGE_SUBMIT""}","{""ImportId"":""QID96_CLICK_COUNT""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID88_2""}","{""ImportId"":""QID88_3""}","{""ImportId"":""QID88_4""}","{""ImportId"":""QID98_FIRST_CLICK""}","{""ImportId"":""QID98_LAST_CLICK""}","{""ImportId"":""QID98_PAGE_SUBMIT""}","{""ImportId"":""QID98_CLICK_COUNT""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID90_2""}","{""ImportId"":""QID90_3""}","{""ImportId"":""QID90_4""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID94_1""}","{""ImportId"":""QID94_2""}","{""ImportId"":""QID94_3""}","{""ImportId"":""QID94_4""}","{""ImportId"":""QID94_5""}","{""ImportId"":""QID94_6""}","{""ImportId"":""QID94_7""}","{""ImportId"":""QID94_8""}","{""ImportId"":""QID91_1""}","{""ImportId"":""QID91_2""}","{""ImportId"":""QID91_3""}","{""ImportId"":""QID91_4""}","{""ImportId"":""QID91_5""}","{""ImportId"":""QID91_6""}","{""ImportId"":""QID91_7""}","{""ImportId"":""QID91_8""}","{""ImportId"":""QID91_9""}","{""ImportId"":""QID91_10""}","{""ImportId"":""QID91_11""}","{""ImportId"":""QID91_12""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID93_2""}","{""ImportId"":""QID93_3""}","{""ImportId"":""QID93_4""}","{""ImportId"":""QID93_5""}","{""ImportId"":""QID93_6""}","{""ImportId"":""QID93_7""}","{""ImportId"":""QID93_8""}","{""ImportId"":""QID93_9""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID86""}","{""ImportId"":""QID77""}"
2018-11-30 09:53:44,2018-11-30 09:53:55,1,*******,100,10,1,2018-11-30 09:53:55,R_3QQRNp7p11bxQcT,*******,*******,*******,*******,*******,*******,preview,EN,2,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-30 09:55:51,2018-11-30 10:04:21,1,*******,100,509,1,2018-11-30 10:04:21,R_2Sv5MNVYXSouesP,*******,*******,*******,*******,*******,*******,preview,EN,1,joel test,joel test,,1,1,1,1,56.909,76.024,144.422,2,1,1,1,1,46.9,173.805,180.078,2,1,1,1,1,-99,1,1,2,1,2,1,2,2,1,1,3,1,1,1,1,1,1,2,4,2,2,2,2,2,2,2,2,2,2,1,0,3,-99
2018-12-04 14:16:07,2018-12-04 14:16:18,1,*******,100,11,1,2018-12-04 14:16:19,R_A4G4e994EBL9iRX,*******,*******,*******,*******,*******,*******,preview,EN,2,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-04 14:19:18,2018-12-04 14:19:27,1,*******,100,8,1,2018-12-04 14:19:27,R_3Eg9OzRlfmjnjcb,*******,*******,*******,*******,*******,*******,preview,EN,2,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-04 14:22:01,2018-12-04 14:28:52,0,*******,100,410,1,2018-12-04 14:28:52,R_2zbCLAVSXSpicxp,*******,*******,*******,*******,*******,*******,anonymous,EN,1,test,test,test,1,1,1,1,0,0,132.97,0,1,1,1,1,0,0,180.108,0,1,1,1,1,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,3
2018-12-04 14:31:04,2018-12-04 14:39:20,0,*******,100,495,1,2018-12-04 14:39:20,R_2rijsT3XAa3Cv3Z,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Hurt,Johnny cash,5aeaaf9b9bebfc0001cd66e6,1,2,5,4,0,0,158.814,0,3,5,6,5,130.024,130.024,180.086,1,6,7,6,5,82,2,1,1,1,1,1,2,2,5,4,5,5,5,1,4,5,1,1,4,5,4,5,4,4,5,4,5,4,2,6,0,3,1
2018-12-04 14:31:21,2018-12-04 14:43:26,0,*******,100,724,1,2018-12-04 14:43:26,R_Ui71D5RORsAlxv3,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Stay,Rihanna,5abc11e6e1099600016a3097,2,2,3,2,94.427,106.486,169.712,5,3,2,4,2,15.417,15.417,180.026,1,3,2,4,2,61,1,1,1,1,1,1,2,2,4,3,3,4,4,3,3,4,4,4,3,4,4,4,4,3,3,4,4,4,3,6,0,3,1
2018-12-04 14:30:49,2018-12-04 14:44:37,0,*******,100,828,1,2018-12-04 14:44:37,R_1liMlgPyiYeH7H8,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Kiss from a Rose,Seal,5bdcdee214b3cd00019d02c8,1,1,1,1,0,0,142.835,0,2,1,2,1,0,0,180.03,0,2,3,2,2,0,1,1,1,1,1,1,2,2,2,3,4,3,4,2,4,4,2,3,3,3,1,1,1,1,2,1,1,2,1,7,1,2,6
