song_artist,word_count,sad_count,pos_count,neg_count,sad_total_ratio,neg_pos_ratio,sad_pos_ratio,bias,ID,valence,energy,artist_rtn,song_rtn
Hurt_Johnny Cash,608,96,96,160,0,6235149080811617e12,1,Negative,1,0.163,0.392,Johnny Cash,Hurt
Stay_Rihanna,50,1,1,2,0,2.7183,1,Negative,2,0.125,0.31,Rihanna,Stay
Kiss from a Rose_Seal,204,22,24,16,0,3e-4,0.1353,Positive,3,0.223,0.532,Seal,Kiss from a Rose
Lonely_Akon,146,57,6,57,0,14093490824269389e6,14093490824269389e6,Negative,5,0.595,0.533,Akon,Lonely
I Started A Joke_Bee Gees,46,6,3,12,0,8103.0839,20.0855,Negative,6,0.431,0.464,Bee Gees,I Started A Joke
Just When I Needed You Most_Randy VanWarmer,45,0,7,0,0,9e-4,9e-4,Positive,7,0.346,0.313,Randy VanWarmer,Just When I Needed You Most
Hurt_Johnny Cash,608,96,96,160,0,6235149080811617e12,1,Negative,9,0.163,0.392,Johnny Cash,Hurt
Love Of My Life - Remastered 2011_Queen,1,0,0,0,0.3679,1,1,Equal,10,0.26,0.183,Queen,Love Of My Life - Remastered 2011
I'll Never Love Again - Film Version_Lady Gaga,1216,80,240,176,0,0,0,Positive,11,0.221,0.34,Lady Gaga,I'll Never Love Again - Film Version
Wherever You Will Go_The Calling,35,4,6,5,0,0.3679,0.1353,Positive,12,0.371,0.719,The Calling,Wherever You Will Go
Hello_Adele,900,18,36,18,0,0,0,Positive,14,0.289,0.451,Adele,Hello
Yesterday - Remastered 2009_The Beatles,1,0,0,0,0.3679,1,1,Equal,15,0.315,0.179,The Beatles,Yesterday - Remastered 2009
Fix You_Coldplay,423,27,81,45,0,0,0,Positive,17,0.123,0.418,Coldplay,Fix You
Driving Home for Christmas_Chris Rea,82,3,7,1,0,0.0025,0.0183,Positive,18,0.894,0.661,Chris Rea,Driving Home for Christmas
To Build A Home_The Cinematic Orchestra,864,48,80,112,0,78962960182680.7,0,Negative,19,0.0774,0.128,The Cinematic Orchestra,To Build A Home
See You Again (feat. Charlie Puth)_Wiz Khalifa,4,0,0,0,0.0183,1,1,Equal,20,0.283,0.481,Wiz Khalifa,See You Again (feat. Charlie Puth)
If I Die Young_The Band Perry,123,8,23,13,0,0,0,Positive,21,0.362,0.497,The Band Perry,If I Die Young
I'm Sorry_Joyner Lucas,283,37,33,51,0,65659969.1373,54.5982,Negative,22,0.337,0.576,Joyner Lucas,I'm Sorry
Numb_Linkin Park,232,32,4,88,0,30250773222011426e20,1446257064291.475,Negative,24,0.243,0.863,Linkin Park,Numb
Lego House_Ed Sheeran,69,5,17,11,0,0.0025,0,Positive,25,0.565,0.637,Ed Sheeran,Lego House
A Quiet Life_Teho Teardo,1,0,0,0,0.3679,1,1,Equal,26,0.0587,0.231,Teho Teardo,A Quiet Life
See You Again (feat. Charlie Puth)_Wiz Khalifa,4,0,0,0,0.0183,1,1,Equal,27,0.283,0.481,Wiz Khalifa,See You Again (feat. Charlie Puth)
Sad Song (feat. Elena Coats)_We The Kings,1,0,0,0,0.3679,1,1,Equal,28,0.249,0.526,We The Kings,Sad Song (feat. Elena Coats)
Let Me Love You_Mario,124,6,37,8,0,0,0,Positive,29,0.556,0.578,Mario,Let Me Love You
Only Time_Enya,40,0,5,0,0,0.0067,0.0067,Positive,30,0.213,0.249,Enya,Only Time
See You Again (feat. Charlie Puth)_Wiz Khalifa,4,0,0,0,0.0183,1,1,Equal,31,0.283,0.481,Wiz Khalifa,See You Again (feat. Charlie Puth)
Supermarket Flowers_Ed Sheeran,3240,216,540,324,0,0,0,Positive,32,0.257,0.242,Ed Sheeran,Supermarket Flowers
It Ain't Me_Selena Gomez,1,0,0,0,0.3679,1,1,Equal,33,0.539,0.658,Selena Gomez,It Ain't Me
Fields Of Gold_Sting,87,3,22,8,0,0,0,Positive,34,0.32,0.339,Sting,Fields Of Gold
With Or Without You - Remastered_U2,1,0,0,0,0.3679,1,1,Equal,35,0.113,0.429,U2,With Or Without You - Remastered
Hood_Perfume Genius,22,1,7,5,0,0.1353,0.0025,Positive,36,0.272,0.278,Perfume Genius,Hood
Stop Crying Your Heart Out_Oasis,896,192,64,192,0,38877084059945954e39,38877084059945954e39,Negative,37,0.083,0.566,Oasis,Stop Crying Your Heart Out
Please Don't Go_Joel Adams,57,1,5,3,0,0.1353,0.0183,Positive,38,0.235,0.768,Joel Adams,Please Don't Go
