StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,musicaccess,sad.song,sad.song.artist,ProlificID,deq_1_1,deq_1_2,deq_1_3,deq_1_4,mip.timinmg_First Click,mip.timinmg_Last Click,mip.timinmg_Page Submit,mip.timinmg_Click Count,deq_2_1,deq_2_2,deq_2_3,deq_2_4,song.timing_First Click,song.timing_Last Click,song.timing_Page Submit,song.timing_Click Count,deq_3_1,deq_3_2,deq_3_3,deq_3_4,reg.use_1,mecscale_1,mecscale_2,mecscale_3,mecscale_4,mecscale_5,mecscale_6,mecscale_7,mecscale_8,rrq_1,rrq_2,rrq_3,rrq_4,rrq_5,rrq_6,rrq_7,rrq_8,rrq_9,rrq_10,rrq_11,rrq_12,musebaq_1,musebaq_2,musebaq_3,musebaq_4,musebaq_5,musebaq_6,musebaq_7,musebaq_8,musebaq_9,age,gender,hours.listen,Q77,musebaq,Baseline,PostInduction,PostListening,rumination,BSR,Entrainment,Conditioning,Contagion,Imagery,Memory,Expectancy,Appraisal
2018-12-04T14:31:04Z,2018-12-04T14:39:20Z,0,*******,100,495,1,2018-12-04T14:39:20Z,R_2rijsT3XAa3Cv3Z,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Hurt,Johnny cash,5aeaaf9b9bebfc0001cd66e6,1,2,5,4,0,0,158.814,0,3,5,6,5,130.024,130.024,180.086,1,6,7,6,5,82,2,1,1,1,1,1,2,2,5,4,5,5,5,1,4,5,1,1,4,5,4,5,4,4,5,4,5,4,2,23,0,3,1,37,12,19,24,3.75,1,0,0,0,0,0,1,1
2018-12-04T14:31:21Z,2018-12-04T14:43:26Z,0,*******,100,724,1,2018-12-04T14:43:26Z,R_Ui71D5RORsAlxv3,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Stay,Rihanna,5abc11e6e1099600016a3097,2,2,3,2,94.427,106.486,169.712,5,3,2,4,2,15.417,15.417,180.026,1,3,2,4,2,61,1,1,1,1,1,1,2,2,4,3,3,4,4,3,3,4,4,4,3,4,4,4,4,3,3,4,4,4,3,23,0,3,1,33,9,11,11,3.5833333333333335,0,0,0,0,0,0,1,1
2018-12-04T14:30:49Z,2018-12-04T14:44:37Z,0,*******,100,828,1,2018-12-04T14:44:37Z,R_1liMlgPyiYeH7H8,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Kiss from a Rose,Seal,5bdcdee214b3cd00019d02c8,1,1,1,1,0,0,142.835,0,2,1,2,1,0,0,180.03,0,2,3,2,2,0,1,1,1,1,1,1,2,2,2,3,4,3,4,2,4,4,2,3,3,3,1,1,1,1,2,1,1,2,1,24,1,2,6,11,4,6,9,3.0833333333333335,0,0,0,0,0,0,1,1
2018-12-04T14:34:52Z,2018-12-04T14:47:02Z,0,*******,100,729,1,2018-12-04T14:47:02Z,R_3KILj84C1mZM5ZG,*******,*******,*******,*******,*******,*******,anonymous,EN,1,We don't talk anymore,Charlie Puth ft Selena Gomez,5bba1e15e258e8000160d72b,3,1,1,2,0,0,201.968,0,2,1,3,1,148.231,148.231,180.075,1,3,1,3,2,61,2,1,1,1,1,1,2,2,2,4,5,5,4,2,4,4,1,2,4,5,4,4,4,3,4,5,3,4,2,18,0,7,2,33,7,7,9,3.5,1,0,0,0,0,0,1,1
2018-12-04T14:31:46Z,2018-12-04T14:47:37Z,0,*******,100,951,1,2018-12-04T14:47:38Z,R_1gI3QJznQ7yq7h4,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Lonely,Akon,5be504e4bd3ac70001d046fb,4,1,2,2,79.205,79.205,149.131,1,1,4,5,1,0,0,181.248,0,4,1,3,1,20,2,1,1,2,2,1,2,2,4,4,3,4,4,2,4,4,2,4,3,3,2,1,2,1,2,4,1,4,1,25,0,2,1,18,9,11,9,3.4166666666666665,1,0,0,1,1,0,1,1
2018-12-04T14:43:28Z,2018-12-04T14:55:37Z,0,*******,100,728,1,2018-12-04T14:55:37Z,R_3dLdsAqFl4aBpSn,*******,*******,*******,*******,*******,*******,anonymous,EN,1,I Started A Joke,Bee Gees,5ba91985c4da2d00015d4a11,3,2,4,3,141.384,141.384,142.302,1,2,5,6,2,22.357,66.463,181.347,4,3,5,5,3,18,1,1,2,1,1,1,2,1,5,4,5,4,5,2,4,4,4,2,4,5,4,4,4,5,4,5,4,4,5,23,0,5,1,39,12,15,16,4,0,0,1,0,0,0,1,0
2018-12-04T14:41:20Z,2018-12-04T14:56:31Z,0,*******,100,911,1,2018-12-04T14:56:32Z,R_1lc7VEYY7Cbbyqr,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Just When I Needed You Most,Randy vanwarmer,5a622b2d13898300014b20d6,6,7,6,6,146.97,146.97,147.819,1,5,7,6,6,0,0,180.079,0,7,7,7,7,0,2,1,1,2,1,1,2,2,4,5,5,4,4,3,5,4,2,1,5,1,5,5,5,1,5,5,5,5,1,25,1,7,1,37,25,24,28,3.5833333333333335,1,0,0,1,0,0,1,1
2018-12-04T14:45:25Z,2018-12-04T14:56:35Z,0,*******,100,669,1,2018-12-04T14:56:35Z,R_AoAOflWH8o2OEjn,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"I spoke to the devil in miami, he said everything would be fine",XXXTENTACION,5c009e38aa5fa3000137016c,1,1,2,1,0,0,141.339,0,2,4,2,1,0,0,181.514,0,1,2,3,1,19,2,1,2,1,1,1,2,1,4,3,4,5,4,2,4,4,2,2,4,4,3,4,4,4,4,4,2,4,4,23,0,2,3,33,5,9,7,3.5,1,0,1,0,0,0,1,0
2018-12-04T14:47:22Z,2018-12-04T15:00:03Z,0,*******,100,761,1,2018-12-04T15:00:04Z,R_3EJSlzrvfJboV2d,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Hurt,Johnny Cash,5bd617ac7177e70001954387,5,1,3,3,0,0,151.394,0,4,2,4,3,0,0,180.117,0,5,4,5,4,60,1,1,2,1,1,1,2,1,4,5,4,4,4,2,4,3,2,1,4,4,4,4,4,3,4,5,4,4,2,23,0,4,1,34,12,13,18,3.4166666666666665,0,0,1,0,0,0,1,0
2018-12-04T14:54:04Z,2018-12-04T15:05:47Z,0,*******,100,702,1,2018-12-04T15:05:47Z,R_1ffUdte9nivS3uX,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Love of my life,Queen,5be742dd0e366e000175c8ba,1,1,2,2,0,0,144.514,0,1,3,5,2,2.658,2.658,180.029,1,2,3,5,4,69,2,2,1,2,2,1,2,2,4,4,3,4,4,2,5,5,2,2,4,4,3,3,4,3,4,4,3,5,2,18,0,2,3,31,6,11,14,3.5833333333333335,1,1,0,1,1,0,1,1
