ID,song_artist,valence,energy,artist_rtn,song_rtn
1,Hurt_Johnny Cash,0.163,0.392,Johnny Cash,Hurt
2,Stay_Rihanna,0.125,0.31,Rihanna,Stay
3,Kiss from a Rose_Seal,0.223,0.532,Seal,Kiss from a Rose
5,Lonely_Akon,0.595,0.533,Akon,Lonely
6,I Started A Joke_Bee Gees,0.431,0.464,Bee Gees,I Started A Joke
7,Just When I Needed You Most_Randy VanWarmer,0.346,0.313,Randy VanWarmer,Just When I Needed You Most
9,Hurt_Johnny Cash,0.163,0.392,Johnny Cash,Hurt
10,Love Of My Life - Remastered 2011_Queen,0.26,0.183,Queen,Love Of My Life - Remastered 2011
11,I'll Never Love Again - Film Version_Lady Gaga,0.221,0.34,Lady Gaga,I'll Never Love Again - Film Version
12,Wherever You Will Go_The Calling,0.371,0.719,The Calling,Wherever You Will Go
14,Hello_Adele,0.289,0.451,Adele,Hello
15,Yesterday - Remastered 2009_The Beatles,0.315,0.179,The Beatles,Yesterday - Remastered 2009
17,Fix You_Coldplay,0.123,0.418,Coldplay,Fix You
18,Driving Home for Christmas_Chris Rea,0.894,0.661,Chris Rea,Driving Home for Christmas
19,To Build A Home_The Cinematic Orchestra,0.0774,0.128,The Cinematic Orchestra,To Build A Home
20,See You Again (feat. Charlie Puth)_Wiz Khalifa,0.283,0.481,Wiz Khalifa,See You Again (feat. Charlie Puth)
21,If I Die Young_The Band Perry,0.362,0.497,The Band Perry,If I Die Young
22,I'm Sorry_Joyner Lucas,0.337,0.576,Joyner Lucas,I'm Sorry
24,Numb_Linkin Park,0.243,0.863,Linkin Park,Numb
25,Lego House_Ed Sheeran,0.565,0.637,Ed Sheeran,Lego House
26,A Quiet Life_Teho Teardo,0.0587,0.231,Teho Teardo,A Quiet Life
27,See You Again (feat. Charlie Puth)_Wiz Khalifa,0.283,0.481,Wiz Khalifa,See You Again (feat. Charlie Puth)
28,Sad Song (feat. Elena Coats)_We The Kings,0.249,0.526,We The Kings,Sad Song (feat. Elena Coats)
29,Let Me Love You_Mario,0.556,0.578,Mario,Let Me Love You
30,Only Time_Enya,0.213,0.249,Enya,Only Time
31,See You Again (feat. Charlie Puth)_Wiz Khalifa,0.283,0.481,Wiz Khalifa,See You Again (feat. Charlie Puth)
32,Supermarket Flowers_Ed Sheeran,0.257,0.242,Ed Sheeran,Supermarket Flowers
33,It Ain't Me_Selena Gomez,0.539,0.658,Selena Gomez,It Ain't Me
34,Fields Of Gold_Sting,0.32,0.339,Sting,Fields Of Gold
35,With Or Without You - Remastered_U2,0.113,0.429,U2,With Or Without You - Remastered
36,Hood_Perfume Genius,0.272,0.278,Perfume Genius,Hood
37,Stop Crying Your Heart Out_Oasis,0.083,0.566,Oasis,Stop Crying Your Heart Out
38,Please Don't Go_Joel Adams,0.235,0.768,Joel Adams,Please Don't Go
39,Be Alright_Dean Lewis,0.443,0.586,Dean Lewis,Be Alright
40,Thursday_Jess Glynne,0.354,0.554,Jess Glynne,Thursday
42,My Girl_The Temptations,0.694,0.418,The Temptations,My Girl
43,The Other_Lauv,0.384,0.553,Lauv,The Other
44,Supermarket Flowers_Ed Sheeran,0.257,0.242,Ed Sheeran,Supermarket Flowers
45,You_The Pretty Reckless,0.261,0.543,The Pretty Reckless,You
47,SAD!_XXXTENTACION,0.473,0.613,XXXTENTACION,SAD!
48,Mad World (Feat. Michael Andrews)_Gary Jules,0.304,0.0581,Gary Jules,Mad World (Feat. Michael Andrews)
51,Hope There's Someone_Antony and the Johnsons,0.101,0.168,Antony and the Johnsons,Hope There's Someone
52,Trapped In My Mind_Kid Cudi,0.787,0.697,Kid Cudi,Trapped In My Mind
53,Washer_Slint,0.0384,0.0954,Slint,Washer
54,Run_Snow Patrol,0.197,0.64,Snow Patrol,Run
55,Bored_Billie Eilish,0.112,0.318,Billie Eilish,Bored
56,Edit Your Hometown_La Dispute,0.69,0.96,La Dispute,Edit Your Hometown
57,Supermarket Flowers_Ed Sheeran,0.257,0.242,Ed Sheeran,Supermarket Flowers
58,How to Save a Life_The Fray,0.361,0.743,The Fray,How to Save a Life
59,Apologize_OneRepublic,0.502,0.74,OneRepublic,Apologize
60,Redemption Blues_Miracle Of Sound,0.153,0.668,Miracle Of Sound,Redemption Blues
61,Goodbye_2NE1,0.492,0.488,2NE1,Goodbye
62,Coat of Many Colors_Dolly Parton,0.681,0.257,Dolly Parton,Coat of Many Colors
64,Numb_Linkin Park,0.243,0.863,Linkin Park,Numb
65,Star Shopping_Lil Peep,0.323,0.471,Lil Peep,Star Shopping
66,Yes I'm Changing_Tame Impala,0.354,0.609,Tame Impala,Yes I'm Changing
67,Lay It On Me_Vance Joy,0.53,0.663,Vance Joy,Lay It On Me
68,Passing Afternoon_Iron & Wine,0.616,0.311,Iron & Wine,Passing Afternoon
70,Bring Him Home_Les Misérables-Original London Cast,0.0754,0.301,Les Misérables-Original London Cast,Bring Him Home
72,Holocene_Bon Iver,0.147,0.304,Bon Iver,Holocene
74,The Axis_Thee Oh Sees,0.248,0.55,Thee Oh Sees,The Axis
75,See You Again (feat. Charlie Puth)_Wiz Khalifa,0.283,0.481,Wiz Khalifa,See You Again (feat. Charlie Puth)
77,No One_Alicia Keys,0.166,0.548,Alicia Keys,No One
78,Dying in LA_Panic! At The Disco,0.315,0.35,Panic! At The Disco,Dying in LA
79,The Last Night_Skillet,0.542,0.856,Skillet,The Last Night
81,BABY_The Rose,0.516,0.804,The Rose,BABY
82,SAD!_XXXTENTACION,0.473,0.613,XXXTENTACION,SAD!
83,Chasing Cars_Snow Patrol,0.136,0.592,Snow Patrol,Chasing Cars
84,Wicked Game_Chris Isaak,0.29,0.548,Chris Isaak,Wicked Game
85,The Edges_Catherine McGrath,0.445,0.846,Catherine McGrath,The Edges
86,Chanel_Frank Ocean,0.473,0.503,Frank Ocean,Chanel
87,The Scientist_Coldplay,0.212,0.442,Coldplay,The Scientist
88,"My Heart Will Go On - Love Theme from ""Titanic""_Céline Dion",0.0382,0.276,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic"""
89,Happier_Ed Sheeran,0.236,0.385,Ed Sheeran,Happier
90,The Nights_Avicii,0.654,0.835,Avicii,The Nights
91,Rock 'N' Roll Suicide - 2012 Remaster_David Bowie,0.272,0.308,David Bowie,Rock 'N' Roll Suicide - 2012 Remaster
92,Suddenly I See_KT Tunstall,0.664,0.767,KT Tunstall,Suddenly I See
93,Wake Me up When September Ends_Green Day,0.146,0.814,Green Day,Wake Me up When September Ends
94,To Build A Home_The Cinematic Orchestra,0.0774,0.128,The Cinematic Orchestra,To Build A Home
96,Somewhere over the Rainbow_Judy Garland,0.106,0.224,Judy Garland,Somewhere over the Rainbow
97,Time To Say Goodbye (Con Te Partirò)_Andrea Bocelli,0.445,0.435,Andrea Bocelli,Time To Say Goodbye (Con Te Partirò)
99,The Scientist_Coldplay,0.212,0.442,Coldplay,The Scientist
